Atencion Level, Meditation Level, Blink, Life, Distance, Speed, Time played, Difficulty
50,29,0,3,5,5,62,easy
67,40,0,3,10,5,63,easy
77,51,0,3,16,5,64,easy
64,40,0,3,21,5,65,easy
100,34,0,3,26,5,66,easy
100,34,0,3,31,5,67,easy
70,21,0,3,36,5,69,easy
70,21,0,3,41,5,70,easy
48,4,0,3,46,5,71,easy
29,38,0,2,1179,9,599997,189,hard
37,35,0,2,1188,9,599997,190,hard
43,47,0,2,1198,9,599997,191,hard
54,56,0,2,1207,8,54589,192,normal
54,56,0,2,1216,8,404057,193,normal
54,75,0,2,1225,8,400112,194,normal
61,93,0,2,1233,8,400003,195,normal
50,96,0,1,1242,8,400003,196,normal
24,83,0,1,1250,8,400003,197,normal
24,64,0,1,1259,8,400003,198,normal
43,53,0,1,1268,8,400003,199,normal
47,44,0,1,1276,8,400003,200,normal
56,53,0,1,1285,8,400003,201,normal
57,54,0,1,1294,8,961234,202,hard
41,75,0,1,1303,8,998922,203,hard
34,69,0,1,1312,8,999973,204,hard
44,61,0,1,1321,8,999996,205,hard
50,67,0,1,1330,8,999996,206,hard
60,51,0,1,1339,8,999996,207,hard
74,51,0,1,1349,8,999996,208,hard
75,51,0,1,1358,8,999996,209,hard
88,63,0,1,1367,8,999996,210,hard
69,60,0,1,1376,8,999996,211,hard
74,74,0,1,1386,10,16663,212,hard
64,53,0,1,1397,10,19897,213,hard
78,60,0,1,1407,10,19997,214,hard
81,50,0,1,1417,10,2,215,hard
63,51,0,1,1428,10,2,217,hard
63,75,0,2,1438,10,2,218,hard
70,74,0,2,1448,10,2,219,hard
66,69,0,2,1459,10,2,220,hard
91,74,0,2,1469,10,2,221,hard
91,74,0,2,1479,10,61268,222,expert
87,54,0,2,1491,11,3781,223,expert
100,54,0,2,1502,11,39939,224,expert
93,48,0,2,1514,11,39999,225,expert
84,48,0,2,1526,11,4,226,expert
100,48,0,2,1537,11,4,227,expert
84,53,0,2,1549,11,4,228,expert
90,51,0,2,1560,11,4,229,expert
88,50,0,2,1572,11,4,230,expert
77,44,0,2,1583,11,4,231,expert
78,23,0,1,1595,10,71656,232,hard
64,37,0,1,1605,10,21596,233,hard
53,41,0,1,1615,10,20055,234,hard
60,53,0,1,1626,10,20001,235,hard
63,67,0,1,1636,10,2,236,hard
69,70,0,1,1647,10,2,237,hard
91,74,0,1,1657,10,2,238,hard
84,70,0,1,1668,10,2,239,hard
87,78,0,1,1678,10,2,240,hard
87,74,0,1,1688,10,2,241,hard
87,74,0,1,1699,10,66274,242,expert
90,63,0,1,1710,10,79618,243,expert
94,60,0,0,1718,6,150954,244,expert
100,63,0,0,1718,10,70574,245,expert
75,44,0,0,1718,10,79738,246,expert
54,43,0,0,1718,10,79994,247,expert
41,30,0,0,1718,10,8,248,expert
16,23,0,0,1718,10,8,249,expert
